Bill Number,Bill Date,Retailer Name,Bill Amount,Salesman,Beat Name
P252612774,11-01-2026,NAVAMI STORES NEAR SUNIL P S,718,HANUMANTHAPPA D,TV  STATION  - 1
P252612775,11-01-2026,YASH PROVISION STORE,671,HANUMANTHAPPA D,TV  STATION  - 1
P252612776,11-01-2026,SINCHANA P/S,884,HANUMANTHAPPA D,TV  STATION  - 1
P252612777,11-01-2026,BABU RICE CORNER,755,HANUMANTHAPPA D,TV  STATION  - 1
P252612778,11-01-2026,LAKSHMI PRO STORE,2284,HANUMANTHAPPA D,TV  STATION  - 1
P252612779,11-01-2026,MY DAY CAKE,1007,HANUMANTHAPPA D,TV  STATION  - 1
P252612780,11-01-2026,SRI SAI G/S,239,HANUMANTHAPPA D,TV  STATION  - 1
P252612781,11-01-2026,PATEL KIRANI STORE,1409,HANUMANTHAPPA D,TV  STATION  - 1
P252612782,11-01-2026,B.B JHAN P/S,1125,HANUMANTHAPPA D,TV  STATION  - 1
P252612783,11-01-2026,BATHISIDDESHWAR. P/S,1261,HANUMANTHAPPA D,TV  STATION  - 1
P252612784,11-01-2026,LAKSHMI VENKATESHWARA P/S,879,HANUMANTHAPPA D,TV  STATION  - 1
P252612785,11-01-2026,SHIVA STORES,1862,HANUMANTHAPPA D,TV  STATION  - 1
P252612786,11-01-2026,VENKATESHWARA SWEET BEKARY,1711,HANUMANTHAPPA D,TV  STATION  - 1
P252612787,11-01-2026,Manju nath Provision Store,955,HANUMANTHAPPA D,TV  STATION  - 1
P252612788,11-01-2026,SAJJAN SUPAR MART,2544,HANUMANTHAPPA D,TV  STATION  - 1
P252612789,11-01-2026,RANGANATH.BEKARY,720,HANUMANTHAPPA D,TV  STATION  - 1
P252612836,12-01-2026,SRI MARALUSIDDESHWATRA  P/S (SHAMNUR),625,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612837,12-01-2026,S MART,905,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612838,12-01-2026,VENKATESHWARA PRO STORE,1108,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612839,12-01-2026,NANDI  SUPPER MARKET (G),1442,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612840,12-01-2026,BENGALURU BAKERY,1801,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612841,12-01-2026,VARSHA FANCY STORE,925,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612842,12-01-2026,SRI THIPPESWAMY P/S,2032,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612843,12-01-2026,SRI RAMA XEROX,1027,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612844,12-01-2026,RAGVENDRA BEEDA STALL,991,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612845,12-01-2026,SRI RAGHAVENDRA P/S,474,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612846,12-01-2026,AMARESHWARA PR ST,510,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612847,12-01-2026,SRI RAM BAKERY  SHEETS (shamanur),5749,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612848,12-01-2026,LAKSHMI VENKATESHWARA BAKERY,1178,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612849,12-01-2026,SURYA  BAKARY(SHAMNUR),2027,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612850,12-01-2026,KUSUMA ENTERPRISES (G),1151,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612851,12-01-2026,GANESHA ENTERPRISES,11200,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612852,12-01-2026,SHAMANUR SHOPPE (G),1444,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612853,12-01-2026,KALLESHWARA JUIES STALL,1137,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612854,12-01-2026,SIDDESHWRA  P/S,921,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612855,12-01-2026,ANJANEYA BAKERY SHAMANUR,5520,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612856,12-01-2026,SADHANA   G/S  SHAMNOOR,996,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612857,12-01-2026,SRI MANIKANTA IYYANGAR BAKERY,1434,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612858,12-01-2026,GANESH PR ST,8245,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612859,12-01-2026,PRATHIKSHA CAKE HOUSE,1782,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612901,13-01-2026,"A, N, MANAJUNATHA P/S",1910,HANUMANTHAPPA D,MCC  A  BLOCK
P252612902,13-01-2026,PRIME DRY FRUITS,961,HANUMANTHAPPA D,MCC  A  BLOCK
P252612903,13-01-2026,ATHARVA FOOD MARKET,1201,HANUMANTHAPPA D,MCC  A  BLOCK
P252612904,13-01-2026,NANDHINI MILCK PARLOUR,1081,HANUMANTHAPPA D,MCC  A  BLOCK
P252612905,13-01-2026,KANAKA  P/S,2801,HANUMANTHAPPA D,MCC  A  BLOCK
P252612906,13-01-2026,JAGDAMBA G/S,583,HANUMANTHAPPA D,MCC  A  BLOCK
P252612907,13-01-2026,Y A PRASHANTH P/S,806,HANUMANTHAPPA D,MCC  A  BLOCK
P252612908,13-01-2026,SRI SHAKTHI VASTU BANDARA (G),1165,HANUMANTHAPPA D,MCC  A  BLOCK
P252612909,13-01-2026,G S B PR ST,528,HANUMANTHAPPA D,MCC  A  BLOCK
P252612910,13-01-2026,RAICHOTI VEERABHADRESHWARA P/S,998,HANUMANTHAPPA D,MCC  A  BLOCK
P252612911,13-01-2026,SRI LAKSHMIRANGANATHA P/S,1037,HANUMANTHAPPA D,MCC  A  BLOCK
P252612912,13-01-2026,NANJUNDESHWARA   P/S,673,HANUMANTHAPPA D,MCC  A  BLOCK
P252612913,13-01-2026,MAHALAKSHMI P/S,591,HANUMANTHAPPA D,MCC  A  BLOCK
P252612914,13-01-2026,SHANTHALA BEKARY,875,HANUMANTHAPPA D,MCC  A  BLOCK
P252612915,13-01-2026,SRI MAHALAKSHMI DAILY NEEDS,457,HANUMANTHAPPA D,MCC  A  BLOCK
P252612916,13-01-2026,RAGAVENDRA P/S (PRANESH),1604,HANUMANTHAPPA D,MCC  A  BLOCK
P252612917,13-01-2026,SAI CAKE PALACE,1204,HANUMANTHAPPA D,MCC  A  BLOCK
P252612918,13-01-2026,NEW MANJUNATH P/S,769,HANUMANTHAPPA D,MCC  A  BLOCK
